start, stop, speaker
683.5, 691.0, SPEAKER_00
690.9, 697.6, SPEAKER_01
694.8, 695.7, SPEAKER_00
696.8, 707.4, SPEAKER_00
707.3, 709.6, SPEAKER_01
710.1, 710.6, SPEAKER_00
711.0, 713.3, SPEAKER_00
713.4, 713.8, SPEAKER_00
713.8, 716.1, SPEAKER_00
716.8, 717.0, SPEAKER_01
717.5, 719.8, SPEAKER_00
720.1, 720.4, SPEAKER_00
725.6, 727.4, SPEAKER_01
727.7, 728.5, SPEAKER_01
728.7, 731.1, SPEAKER_01
731.5, 735.3, SPEAKER_01
735.5, 739.4, SPEAKER_01
740.0, 744.1, SPEAKER_01
744.1, 751.8, SPEAKER_00
751.9, 753.4, SPEAKER_00
752.0, 752.4, SPEAKER_01
753.9, 756.5, SPEAKER_01
756.5, 758.0, SPEAKER_00
757.5, 759.2, SPEAKER_01
762.6, 788.0, SPEAKER_00
774.8, 775.1, SPEAKER_01
788.1, 794.9, SPEAKER_00
795.3, 811.0, SPEAKER_01
799.4, 799.5, SPEAKER_00
811.0, 811.0, SPEAKER_00
811.0, 811.3, SPEAKER_01
811.3, 812.6, SPEAKER_00
812.6, 813.0, SPEAKER_01
813.2, 813.2, SPEAKER_01
813.2, 814.1, SPEAKER_00
814.1, 815.0, SPEAKER_01
815.0, 815.3, SPEAKER_00
815.3, 820.9, SPEAKER_00
821.4, 822.5, SPEAKER_00
822.7, 827.0, SPEAKER_00
827.4, 831.1, SPEAKER_00
831.7, 834.8, SPEAKER_00
835.4, 840.9, SPEAKER_00
840.5, 845.7, SPEAKER_01
844.2, 844.6, SPEAKER_00
846.1, 848.1, SPEAKER_01
848.5, 855.0, SPEAKER_01
854.5, 857.3, SPEAKER_00
858.0, 869.4, SPEAKER_00
869.6, 877.9, SPEAKER_00
878.3, 882.2, SPEAKER_00
882.3, 885.5, SPEAKER_00
892.3, 897.4, SPEAKER_01
897.8, 901.3, SPEAKER_01
899.4, 899.8, SPEAKER_00
901.5, 904.5, SPEAKER_01
905.1, 907.6, SPEAKER_01
908.0, 909.6, SPEAKER_01
910.0, 913.5, SPEAKER_01
913.9, 917.6, SPEAKER_01
918.2, 922.6, SPEAKER_01
922.9, 926.0, SPEAKER_01
926.6, 945.3, SPEAKER_01
928.8, 929.2, SPEAKER_00
931.6, 932.1, SPEAKER_00
936.3, 936.7, SPEAKER_00
945.4, 948.3, SPEAKER_00
948.4, 956.0, SPEAKER_00
956.7, 960.0, SPEAKER_00
960.4, 965.8, SPEAKER_00
966.1, 972.3, SPEAKER_00
972.9, 975.4, SPEAKER_00
975.7, 976.1, SPEAKER_00
976.3, 979.7, SPEAKER_00
980.0, 981.2, SPEAKER_00
981.5, 985.9, SPEAKER_00
986.8, 987.9, SPEAKER_00
990.8, 994.5, SPEAKER_00
995.0, 998.1, SPEAKER_01
998.5, 1000.2, SPEAKER_00
1000.6, 1003.2, SPEAKER_01
1003.8, 1007.9, SPEAKER_00
1008.2, 1010.2, SPEAKER_01
1010.3, 1011.1, SPEAKER_01
1010.6, 1010.9, SPEAKER_00
1019.6, 1020.1, SPEAKER_01
1020.6, 1020.7, SPEAKER_01
1020.7, 1021.5, SPEAKER_00
1025.1, 1026.2, SPEAKER_00
1026.2, 1026.3, SPEAKER_01
